"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"gene37302",2.07494684827059e-113,2.2085276291496,0.938,0.124,4.09128267291808e-107,"10","gene3730"
"CCDC51",2.29170560391293e-113,1.92609768091985,0.901,0.105,4.51867739963213e-107,"10","CCDC51"
"gene77182",3.76395465934277e-113,2.04996597725546,0.951,0.125,7.42158889142308e-107,"10","gene7718"
"gene8770",4.21014650917422e-113,1.37133303692261,0.802,0.076,8.30136900990379e-107,"10","gene8770"
"gene58461",4.79657967037063e-113,2.16336297094192,0.963,0.131,9.4576703547923e-107,"10","gene5846"
"gene6940",5.80508814122503e-113,1.60796113908736,0.827,0.084,1.14461999577249e-106,"10","gene6940"
"NUP54",6.18883516662518e-113,1.59410139995338,0.852,0.091,1.22028543062987e-106,"10","NUP54"
"gene107481",8.81470239786566e-113,2.28228899637907,0.975,0.142,1.73804158970988e-106,"10","gene10748"
"gene38142",8.87078108041375e-113,1.82481434508266,0.914,0.113,1.74909892076491e-106,"10","gene3814"
"gene68531",9.11304310748202e-113,1.67923182767971,0.802,0.077,1.7968670086307e-106,"10","gene6853"
"gene1824",9.38277070927986e-113,2.34837025152807,0.963,0.134,1.85005062943347e-106,"10","gene1824"
"GAB1",9.39044044602036e-113,1.5522097877981,0.827,0.086,1.8515629120762e-106,"10","GAB1"
"gene116121",9.95475838868654e-113,1.39466851081162,0.815,0.079,1.96283247171679e-106,"10","gene11612"
"gene69071",1.05170453944756e-112,1.97142261776498,0.914,0.112,2.07370158076934e-106,"10","gene6907"
"mRpL531",1.15089680109174e-112,2.21725461700609,0.926,0.117,2.26928422024304e-106,"10","mRpL53"
"DGCR14",1.67672422312681e-112,2.05756535571107,0.901,0.109,3.30608601712296e-106,"10","DGCR14"
"gene14551",2.24058398061005e-112,2.44028269897899,0.938,0.127,4.4178781855198e-106,"10","gene14551"
"gene76132",3.26455427585616e-112,1.89665101036001,0.901,0.108,6.43689468708222e-106,"10","gene7613"
"TMEM30A1",3.27162696659524e-112,1.71856328406838,0.84,0.09,6.45084028626506e-106,"10","TMEM30A"
"MAP3K111",4.75824616329706e-112,1.58550046164892,0.84,0.088,9.38208614721946e-106,"10","MAP3K11"
"gene74941",4.92470691911125e-112,2.40689358948029,0.975,0.14,9.71030564187837e-106,"10","gene7494"
"ALG10",5.20849689650832e-112,2.49764904170849,0.988,0.145,1.0269869381181e-105,"10","ALG10"
"RXRA",5.92275409480332e-112,1.76420071433636,0.889,0.103,1.16782081546907e-105,"10","RXRA"
"INTS10",6.16347248935266e-112,1.65346784520053,0.864,0.096,1.21528453712986e-105,"10","INTS10"
"gene5485",6.67870550924335e-112,1.859046283531,0.877,0.103,1.31687576239671e-105,"10","gene5485"
"gene125182",8.76724131788445e-112,2.42803291336022,0.975,0.143,1.72868343702626e-105,"10","gene12518"
"gene116261",9.28780575248513e-112,1.75083151657483,0.877,0.101,1.83132588558798e-105,"10","gene11626"
"ALKBH61",9.63891575384053e-112,1.43796343389527,0.864,0.09,1.90055610543823e-105,"10","ALKBH6"
"gene2185",1.02820425151331e-111,1.99957261394514,0.951,0.126,2.02736481753413e-105,"10","gene2185"
"gene71462",1.26029216321851e-111,1.82004355569731,0.889,0.104,2.48498485370259e-105,"10","gene7146"
"gene5287",1.30999643169793e-111,1.52167541964999,0.827,0.085,2.5829893941897e-105,"10","gene5287"
"DBR1",1.37911965221778e-111,1.72711132070444,0.852,0.094,2.71928331161936e-105,"10","DBR1"
"TUBA8",1.44673424470603e-111,3.09132310596041,0.988,0.147,2.85260258720185e-105,"10","TUBA8"
"gene31832",1.49628869843668e-111,2.43854549304194,0.975,0.141,2.95031173000863e-105,"10","gene3183"
"gene13066",1.84028974861014e-111,2.33064247088271,0.926,0.118,3.6285968326913e-105,"10","gene13066"
"RNPC31",2.50516621768052e-111,2.01499372837072,0.926,0.121,4.93956900521022e-105,"10","RNPC3"
"RBM171",3.04773186895785e-111,2.19958867807474,0.951,0.133,6.00937445581326e-105,"10","RBM17"
"DHRS11.3",3.62414690164845e-111,2.68155735052483,0.938,0.13,7.14592252576603e-105,"10","DHRS11.3"
"gene64742",5.85273683817807e-111,1.69119629441724,0.852,0.094,1.15401514188881e-104,"10","gene6474"
"C6orf1361",5.94848824292387e-111,2.28667142696914,0.963,0.133,1.17289495384499e-104,"10","C6orf136"
"gene44642",6.55124896895619e-111,1.75830039680545,0.864,0.098,1.29174448082863e-104,"10","gene4464"
"gene25951",6.65638676613063e-111,1.44054155909599,0.815,0.08,1.31247505752784e-104,"10","gene2595"
"gene78671",7.57319329886147e-111,1.70626821186171,0.864,0.095,1.493246660661e-104,"10","gene7867"
"WARS22",8.88137885811599e-111,2.14512441190965,0.975,0.141,1.75118854076268e-104,"10","WARS2"
"gene31231",9.4300758073798e-111,1.87326765341957,0.889,0.105,1.85937802634285e-104,"10","gene3123"
"VPS33A",1.07947944754356e-110,1.3908527820872,0.815,0.082,2.12846683913237e-104,"10","VPS33A"
"gene77521",1.1116867720093e-110,1.98861918851954,0.938,0.122,2.19197172776965e-104,"10","gene7752"
"GLE11",1.37312175816677e-110,2.48898880750959,0.975,0.145,2.7074569460306e-104,"10","GLE1"
"gene84302",1.3829347670517e-110,1.95701114368864,0.914,0.114,2.72680577573849e-104,"10","gene8430"
"gene20091",1.48414006312552e-110,1.63461684228006,0.802,0.08,2.92635762188793e-104,"10","gene2009"
"gene94592",1.48654600232171e-110,2.16088663633433,0.901,0.111,2.93110153971584e-104,"10","gene9459"
"gene1138",1.55555587470295e-110,1.50597048967472,0.827,0.084,3.06717196261317e-104,"10","gene1138"
"spz",1.60304007993388e-110,2.292469744931,0.951,0.135,3.16079908672988e-104,"10","spz"
"gene116963",2.13017641244836e-110,2.0327432045371,0.963,0.133,4.20018173177429e-104,"10","gene11696"
"gene78232",2.15221411535906e-110,1.81364563940642,0.926,0.117,4.24363463860157e-104,"10","gene7823"
"TTC1",2.24698740389144e-110,1.99912545504357,0.877,0.102,4.43050415458515e-104,"10","TTC1"
"gene144771",3.67714688534002e-110,1.88593679985968,0.926,0.116,7.25042540260985e-104,"10","gene14477"
"gene10506",5.80106943318039e-110,1.5681954919708,0.802,0.082,1.14382760580817e-103,"10","gene10506"
"GLUL.12",5.93075342941429e-110,2.83990112316706,0.963,0.145,1.16939808667079e-103,"10","GLUL.1"
"C15orf401",6.21862890567452e-110,2.1186252855889,0.889,0.108,1.22616002006505e-103,"10","C15orf40"
"gene9785",6.50979064091237e-110,1.81934859196463,0.852,0.098,1.28356992255909e-103,"10","gene9785"
"MAEL2",7.7934845430716e-110,1.2914834536798,0.815,0.08,1.53668265282551e-103,"10","MAEL"
"gene9590",8.26661881772546e-110,1.63827308645763,0.852,0.094,1.62997304537066e-103,"10","gene9590"
"gene109812",9.68762630952139e-110,1.57106881504941,0.889,0.103,1.91016062386777e-103,"10","gene10981"
"gene66651",1.0161525670105e-109,1.24927815895809,0.815,0.078,2.00360187246065e-103,"10","gene6665"
"gene29731",1.19327497498054e-109,2.00121109780964,0.938,0.126,2.35284351174281e-103,"10","gene2973"
"gene72001",1.35379754584468e-109,2.19182251881174,0.938,0.123,2.66935437241189e-103,"10","gene7200"
"imd",1.70228014931675e-109,1.82278121593413,0.901,0.11,3.35647599125575e-103,"10","imd"
"gene5119",2.26838342962639e-109,1.83922942792335,0.815,0.086,4.47269183251613e-103,"10","gene5119"
